Date : 2023-06-04 23:36:33
Directory : c:\Users\HP\Documents\e-commerce\e-commerce-ui
Total : 106 files,  33752 codes, 347 comments, 678 blanks, all 34777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\send_locked_to_be.js                      | JavaScript     |         28 |          0 |          1 |         29 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\send_product.js                           | JavaScript     |         16 |          0 |          1 |         17 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\test.js                                   | JavaScript     |          2 |          0 |          0 |          2 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\uploadImage.js                            | JavaScript     |         18 |          0 |          4 |         22 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\uri.js                                    | JavaScript     |          8 |          0 |          1 |          9 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\validate.js                               | JavaScript     |         24 |          3 |          6 |         33 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\libs\validate_deets.js                         | JavaScript     |         15 |          3 |          5 |         23 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\logo.svg                                       | XML            |          1 |          0 |          0 |          1 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\reportWebVitals.js                             | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\setupTests.js                                  | JavaScript     |          1 |          4 |          1 |          6 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\src\socket.js                                      | JavaScript     |          3 |          0 |          2 |          5 |
| c:\Users\HP\Documents\e-commerce\e-commerce-ui\test.html                                          | HTML           |          1 |          0 |          0 |          1 |
| Total                                                                                             |                |     33,752 |        347 |        678 |     34,777 |
+---------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
