"filename", "language", "HTML", "JavaScript", "CSS", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\send_locked_to_be.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\send_otp.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\send_product.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\suscribe.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\test.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\updateCart.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 9, 5, 93
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\uploadImage.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\uri.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 25, 5, 59
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\validate.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 3, 6, 33
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\validate_deets.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 2, 9, 34
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\verify_admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\verify_discount.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\verify_otp.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\libs\virtual_discount.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\HP\Desktop\jj\e-commerce-ui\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
